Name,相关内容链接,🌲 相关项目,🌿 相关小任务,🍃 活动,🎋 相关指南/工具包,🎋 相关指南主题,👭 伙伴,👭 伙伴数
学术：政治科学/公共管理/社会政策,,,,,,,"https://www.notion.so/15a9f42ae52542509f7b30661c270aeb, https://www.notion.so/d4754151f946404fb107fa93ecc661b5, https://www.notion.so/Hedy-Tong-e50caee9b6a4493ebb72be4820e49506, https://www.notion.so/c15aa0823c924648a0c65a2c6632ebf6, https://www.notion.so/bc725b3f26d14a86b749a152a8068109, https://www.notion.so/C-Spencer-ce0f38736acd4455b94ffb42e75e0ae0",6
学术：数据隐私/监控/信息茧房/数字民工,,,,https://www.notion.so/Web3-7d11998eafad4c839e486936e8eff136,,,"https://www.notion.so/L-Path-7e5014a7fb28403eb81b905f7626b4e7, https://www.notion.so/a6801c7eeb46469c8b5378d2582bd4df, https://www.notion.so/094a33d26faa43c6b6dc84aab84fd944, https://www.notion.so/0a656c13c665494cba145c259ad2196e, https://www.notion.so/Henry-24599e0b24ec4500927468749de09d99, https://www.notion.so/Andrea-b7944c7badbe460b9c5bb9936ce9513e, https://www.notion.so/fc672fb909c1491babcd2798e04ac7b5, https://www.notion.so/Strayn-590be54c952b4d10b5cf5f83a7434223, https://www.notion.so/f479678d18144376a9893f5ca68bdef1, https://www.notion.so/Blaine-c0be019179e641e28b79c8df34c4ad7b, https://www.notion.so/Katt-Gu-24d1e245387641f596f02eff6f4a8a07, https://www.notion.so/66cfc33cbf4448f4b0b2d5f5640bc1cf, https://www.notion.so/dbf9f085397d486ca2fea83ff507f0ec, https://www.notion.so/a65e4def79fc47e58b4b26623ea3023a",14
学术：数码人类学/数字媒介/社交媒体/媒介考古,,,https://www.notion.so/706-Instagram-Twitter-58d24f7299874cfab1bf6e847f324afd,"https://www.notion.so/b18ac9dcd24040c6999936b11e8a1c8b, https://www.notion.so/c66b0552634540fb99f5d5e62acc6e4f",,,"https://www.notion.so/Yuqi-62b3c901dcbc40b6abbdcff8511e245f, https://www.notion.so/5cfebafec48b444f8ba7ad229614d4c7, https://www.notion.so/3ca8d434b3624acf8ff4df9b9c84757d, https://www.notion.so/a85ac15af7534f76a309749ecce6c17e, https://www.notion.so/a71769793acd4b77a46ec0204923146f, https://www.notion.so/WYGG-1a35fab4e9784901b858f04b1fc4adab, https://www.notion.so/33f5a03491eb4c7293455e7e3ddc7885, https://www.notion.so/19df1094bd3241b78b14885d5fab3b46, https://www.notion.so/7453e91eddde4023998a2a8a91036fc1, https://www.notion.so/1c79c96709db45a6aab3992f14887c21, https://www.notion.so/Norman-ee5a36df5bd64c7a9de290f6f6f06f94, https://www.notion.so/a6801c7eeb46469c8b5378d2582bd4df, https://www.notion.so/094a33d26faa43c6b6dc84aab84fd944, https://www.notion.so/Henry-24599e0b24ec4500927468749de09d99, https://www.notion.so/25a8ddbd56f942469ea121ae08db178e, https://www.notion.so/4263d487a9e842a8a6e86abc26f27b0a, https://www.notion.so/cad4a4866ab94dedbd53d4ff4e2d0189, https://www.notion.so/35ad5acfb21442e089f96919781a06f2, https://www.notion.so/5f152e9f21ac4228bbd4c0190a8f25f1, https://www.notion.so/84d992f61387442d8f5a1094b604f11c, https://www.notion.so/d33ba6a6e4ef4f1b95925ba567a69200, https://www.notion.so/bfb230cd49c74504b96b0e867b11d4b2, https://www.notion.so/Julian-2dc1805faade4b14a48deb2c0806bd08, https://www.notion.so/ink-07aa629133fd4977bbdf12317e470820, https://www.notion.so/f479678d18144376a9893f5ca68bdef1, https://www.notion.so/6-935-54c5f4a117a34136918c67a5644bc231, https://www.notion.so/Yilan-0a0a30030b0d4f3ca46664c3437549d8, https://www.notion.so/97ff9c504f5c4826a8b1731b50e57c4c",28
学术：斯蒂格勒/技术哲学,,https://www.notion.so/706-Labs-b92f2162f85546a99c2fb93290258ed6,,,,https://www.notion.so/d01d76b7cc774cba921f03a605b7e706,"https://www.notion.so/4263d487a9e842a8a6e86abc26f27b0a, https://www.notion.so/6ae659bfeb2e4b5894c5e42c159eb9c2, https://www.notion.so/ink-07aa629133fd4977bbdf12317e470820, https://www.notion.so/Yuchen-Chen-9c327bd54a6b4acb8defbd4f939c0798, https://www.notion.so/f479678d18144376a9893f5ca68bdef1, https://www.notion.so/6-935-54c5f4a117a34136918c67a5644bc231, https://www.notion.so/Yilan-0a0a30030b0d4f3ca46664c3437549d8, https://www.notion.so/Vegas-9d08462fdba64d86b17fae8ee144cee6, https://www.notion.so/d3e98118816b4ce8b428d7e85ac3c6b1, https://www.notion.so/Yasmine-1bcc584f112040feaff21ca4a8547dee",10
学术：未来研究/未来学/技术哲学/科学史,,https://www.notion.so/stand-up-tech-63baca0750274ec2ae49037529d58209,,"https://www.notion.so/f24529d6a0b446ebbe3dc0de30b21e0a, https://www.notion.so/706-X-33a71530890d449885a24b515378c4d3",,,https://www.notion.so/1681d72f8e4f4de585db69ebeb08fc0f,1
学术：理论物理/天文学/宇宙研究/数学研究,,,,https://www.notion.so/f33088badb0246c5b67bb900fab52ffc,,,"https://www.notion.so/8dc55433a96c46c4966a10b5c520f4c4, https://www.notion.so/1dc0272bc84b4c94879b11f2cb530edf, https://www.notion.so/d1561867fff1451397e763bc02be8c4c, https://www.notion.so/Shawn-3ac8121523404a808313e4346fde6276, https://www.notion.so/9d5ed39598934f9aa389d045821518f7, https://www.notion.so/c43641bf22d140d19078788cbdd40310, https://www.notion.so/3cc5bda14870440388a1f4336f6ccee4, https://www.notion.so/6dace1827e2542938184432d2089884c, https://www.notion.so/Blaine-c0be019179e641e28b79c8df34c4ad7b, https://www.notion.so/73e12ad6ebce41b3a5b96ae9636b2b45",10
学术：生物系统/复杂性科学,,,,,,,"https://www.notion.so/Shawn-3ac8121523404a808313e4346fde6276, https://www.notion.so/Millie-Zhang-2bf3aff9706748fd82b73d4fa5e5bc58, https://www.notion.so/Eagle-Tong-f2e63efdcc324c2d9c35af77fbd852d6, https://www.notion.so/ink-07aa629133fd4977bbdf12317e470820, https://www.notion.so/Blaine-c0be019179e641e28b79c8df34c4ad7b, https://www.notion.so/73e12ad6ebce41b3a5b96ae9636b2b45",6
学术：认知科学/精神分析/心理/存在主义,,,,"https://www.notion.so/706-92796cc569604677a036721a5efc8a18, https://www.notion.so/706-3-8c20ab3a2f5643cdb393808165cef33c, https://www.notion.so/706-4-eab5229670534df08a95b24b1ca7e26b, https://www.notion.so/706-5-d60e251038424dbfbc7cdf3d32b582e6, https://www.notion.so/706-2-9073df7c3bf249bcaab3b84ef7f10345",,,"https://www.notion.so/6fffa24196ba4f1c8592b2c45f0672fb, https://www.notion.so/Aragorn-81e373e872c34c4d8e411fc3c4a13e9e, https://www.notion.so/c5f136fc99d14e93a0c6bc43f42eca47, https://www.notion.so/Old-c6e6d5c5f2124d29aa44ff534ccbace6, https://www.notion.so/68a6376ba5354dfa930e686a8890cbb0, https://www.notion.so/b56c1f4198654a10ac47c14cd1b1f4d0, https://www.notion.so/Guan-4a7a183815fb4e6a8191f540325f7a80, https://www.notion.so/736f1cb45e6b4b4aa492b21a7f5c9cac, https://www.notion.so/14db3ecb1bfe4e78be3660f77091464e, https://www.notion.so/896173dd5e95490a9fc6b43f4f1ab33f, https://www.notion.so/0ecadf1d1d2344f6989e370971e54646, https://www.notion.so/f998e21b885a442fb33ffde98d345b16, https://www.notion.so/Emma-6fce7307833944bb8c380a14d4f94a71, https://www.notion.so/06f0cb9a895c454d96bb673e1e3b969e, https://www.notion.so/e914973515ed4628a4e10b29d0b8ebb1, https://www.notion.so/8e9f072cd34e449f95da022684ea5fc1, https://www.notion.so/139e095909b342bf9d66b619de17dae4, https://www.notion.so/59ebf41361864469a0250ef9cfe4ce5e, https://www.notion.so/5ce38086110341f3b928d036205c4cb5, https://www.notion.so/d779e3429c2c421a860ba1cf14fe8faa, https://www.notion.so/d3dc99bf74444636892783e12eae061f, https://www.notion.so/cb576a5c21cc436fa1311cd8f2991f99, https://www.notion.so/298575f6261a4d9892c5ea53419cab56, https://www.notion.so/bab364f7fcd04ac082d2a5e0efd377a1, https://www.notion.so/63055867e88d4ce3b80c65916c2e477a, https://www.notion.so/Frances-b21d0ced9572495f97d04d602c84d915, https://www.notion.so/f98f31a30a404b27bf046c92396edbdc, https://www.notion.so/Jessie-1f4567105dba4d1e9a814a8309553f48, https://www.notion.so/526c1418ffc54d788feb1f3b05448824, https://www.notion.so/3cc5bda14870440388a1f4336f6ccee4, https://www.notion.so/e490fbfbe5ce495a8f74b2fa53e8eb36, https://www.notion.so/d4754151f946404fb107fa93ecc661b5, https://www.notion.so/a6bb2979739d4ba2be15c094ed7c99c2, https://www.notion.so/Hedy-Tong-e50caee9b6a4493ebb72be4820e49506, https://www.notion.so/528b1aefcdf348ef816a36d9784aa978, https://www.notion.so/70e9b34026d6421a8a9ba5b5ea11a2ac, https://www.notion.so/a28b966b71cd41a5a5e1ad9cae53dc8c, https://www.notion.so/Summer-90cc44f0b7a54c259f06b39290667af9, https://www.notion.so/b08e89c064944307a0b41b9a2f241bc4, https://www.notion.so/92030afe2255411da593e67a127e0fcc",40
实践：乡村/乡建/生态社区,,https://www.notion.so/706-11812736affe459ba15057ddf284f932,"https://www.notion.so/6fdf1f44f2cd4de9a0a22f480135db26, https://www.notion.so/21f19625d46b4150b78fe4f4c61ac25f","https://www.notion.so/JOJO-51c0cf0181bf485394836f47b4b37f37, https://www.notion.so/706-65d4299f7cda46d4ab75c43055d0d472, https://www.notion.so/706-Conversation-about-Farm-and-Art-60a738ab914f4fd88c4c9b0d286d6a36, https://www.notion.so/706-BKB-Colorado-6b78a737cd174b6d889b50dc2baeb2e0, https://www.notion.so/1-6704f4ab5eb443dfa7770da3c7e1b843","https://www.notion.so/diy-ce2512524ac74f0d97ce39c470c7f4cf, https://www.notion.so/diy-5d22070fd540489bad710ff85a8dc0ef",https://www.notion.so/diy-ae96ec1ec49d4339b75d49680d6e1e94,"https://www.notion.so/jojo-c93f1dd633cd4617ab749900f049e182, https://www.notion.so/58787bfbbc404f42b300207d6cc2412d, https://www.notion.so/fae02c58e8af41e38a1b829fad1b6fd5, https://www.notion.so/5b2c21df4a4d426d9b3eb3a562d2ce48, https://www.notion.so/b56c1f4198654a10ac47c14cd1b1f4d0, https://www.notion.so/21492db8272e468aa7cb0e5360dcfa37, https://www.notion.so/48ffa37cb0b44cf1a30d4710646e54e4, https://www.notion.so/Yuqi-62b3c901dcbc40b6abbdcff8511e245f, https://www.notion.so/4b5d0f5b27904d1cb4647ab7527d24c2, https://www.notion.so/Johnson-561f6adb46484f7b90a51511282bf0ea, https://www.notion.so/Linxi-1a44cb8cd968477cb4c435ef30dd514d, https://www.notion.so/86b06a7915f84a27a5a8d76bc6b6dfcb, https://www.notion.so/a5d4f565b96740bfa6bd580b4c72ce8b, https://www.notion.so/3f8949c772c54a7c9bc99095ca47ba47, https://www.notion.so/393e96636b5f4f22a8a84a599122ac25, https://www.notion.so/56544b11cc374cb181556ea3e809d63a, https://www.notion.so/CHEN-Siyu-3b81e6157f604835b47df5b67f3de66b, https://www.notion.so/aa27fe9405434567b2d1801ff66c5d25, https://www.notion.so/d00e9511c536418dbdf8991172d4263d, https://www.notion.so/9b066cea0d8c4101ab25d3b0df2b3c8c, https://www.notion.so/ea5ed4a0324c432cbe29f7b412caa0c6, https://www.notion.so/3db6e51474e743158a19eee3c0da1b0d, https://www.notion.so/d22ad65c184e48119eaba09f8400029a, https://www.notion.so/cf794082f1c54aba8535f034937f816f, https://www.notion.so/8c86de74159a48dbb467c5239bb33b4a, https://www.notion.so/44306f91bbe24496b18b986c94f59871, https://www.notion.so/60f2496d38784f92b7cb00636ee7fe63, https://www.notion.so/d3e98118816b4ce8b428d7e85ac3c6b1, https://www.notion.so/42513fdeb0cb4dc880791e7f56fb8947, https://www.notion.so/a9bd7116e312452aba9898e0c82e36e4, https://www.notion.so/da155a00904246a581cb84732a225c05, https://www.notion.so/850b21dd836043989cd3bde97ec9c10a",32
实践：公共空间/独立书店/社区营造,,"https://www.notion.so/48-f2b08c5d29ec4fc3ab9d5a26b2d95e70, https://www.notion.so/706-11812736affe459ba15057ddf284f932, https://www.notion.so/b61627b8dc4b473c9626532fad254562, https://www.notion.so/352e7f49aeac46339d17e925a17fdde1, https://www.notion.so/706-01860e6fc8944653bcba0a89c21e0e5c","https://www.notion.so/706-825b2d41e7304a21a2d99ab91797b5a0, https://www.notion.so/6fdf1f44f2cd4de9a0a22f480135db26","https://www.notion.so/JOJO-51c0cf0181bf485394836f47b4b37f37, https://www.notion.so/20-00-f3f8168e08654e10bcd63d8913d28739, https://www.notion.so/706-a1e04c1784b94696afd799eee6f4e47e, https://www.notion.so/706X1200-No-1-9e4056ea72fa478dad1e439b2733ca12, https://www.notion.so/706-No-4-e9b9ce937bcd462dbefc86d30b453316, https://www.notion.so/No-6-2b60e16a011b41189f00d1627edf51cb, https://www.notion.so/706-11ab000867794aff861dc32577d16993, https://www.notion.so/706-19-12-21-80336cbc539f4d24a255393634318ed2, https://www.notion.so/706-No-3-bb4f90dcb7fb4351bfe8af6fd621a6b2, https://www.notion.so/44664169e6594f8ba93066e2ea9373ae, https://www.notion.so/394d89438f85442eb0c75c9628932f6a, https://www.notion.so/ff6caec22de74deabf5e06d2ec0ef1a8, https://www.notion.so/1-6704f4ab5eb443dfa7770da3c7e1b843, https://www.notion.so/ca67d04b93d848ba8c55c7482a681a97, https://www.notion.so/ea34e607285341baab40b164a37fc46f","https://www.notion.so/diy-b6ac31c4af1647c89f4ce51e2f2d9d26, https://www.notion.so/2819f471b8b94fb783fbddc641ccd30a, https://www.notion.so/diy-5d22070fd540489bad710ff85a8dc0ef",,"https://www.notion.so/144433533b344b62b742bbc1b7101257, https://www.notion.so/Nengda-3afd0075bfbc477b8b5a43c3bcf6daca, https://www.notion.so/41b63121c9934a5cb41d40da2c276491, https://www.notion.so/33-4a81a4a9dffb4539b67a34aac502e45d, https://www.notion.so/58787bfbbc404f42b300207d6cc2412d, https://www.notion.so/60e96dd5d9654c62a6d9c85ecee5a0cd, https://www.notion.so/Yuqi-62b3c901dcbc40b6abbdcff8511e245f, https://www.notion.so/68a6376ba5354dfa930e686a8890cbb0, https://www.notion.so/Jason-6fa2e6cdb45746859a5afcdb2d03a162, https://www.notion.so/727fdc67ac1947db970c33027d55a643, https://www.notion.so/Mark-9343b7a45b774746b95ba2d8e3c87a18, https://www.notion.so/97c3604f4e8f42e9b76ca8cff53e8f57, https://www.notion.so/Rosetta-a2efeed8fb824b7b81932507aaa395f8, https://www.notion.so/Summer-a4d5b4867e8b4e40a8208d2b2edc5b80, https://www.notion.so/b221ba16cbac42748e952a4dc0236a2a, https://www.notion.so/bd24815867584fa99972cb4139fbe5a6, https://www.notion.so/jojo-c93f1dd633cd4617ab749900f049e182, https://www.notion.so/Will-d7208f6348e443bebb12168f7fd8bae2, https://www.notion.so/d81239d052f2444e85228f90207f1a2e, https://www.notion.so/d9fd42635e5e4135bf028be830c6472f, https://www.notion.so/de540a2f49094fc49bb130ecd1a910ba, https://www.notion.so/e96d3a2f9a12408095b144aff0bf90b7, https://www.notion.so/ec018cb9621c4ce7978715a500d023de, https://www.notion.so/Chengyao-edf8c2608e0a42bf961f5680d10c5309, https://www.notion.so/513ab27526c0492280dbb3982cfe89de, https://www.notion.so/c0308272e03a444a8dbdeb9acd3f9c6d, https://www.notion.so/dd924db307e54d099c1e25c9111cf3e7, https://www.notion.so/736f1cb45e6b4b4aa492b21a7f5c9cac, https://www.notion.so/Mako-6a2c311af9f94e50bc06a29bbb5c99a5, https://www.notion.so/3f8949c772c54a7c9bc99095ca47ba47, https://www.notion.so/fe48dd9d37524dad86df2104a5743a12, https://www.notion.so/b2d704a789fb44dea3680c6240f4dc71, https://www.notion.so/2ca01b2c09024bb3ad2efa5a36efb992, https://www.notion.so/17d855741ccb474298d42c2f821f338d, https://www.notion.so/837d035fce864db097a75820afb5a14f, https://www.notion.so/zq-a47a614d04324c0dab66482f3d89c409, https://www.notion.so/52bdaa8f8902411b8f6ebe2c30ac7142, https://www.notion.so/1c79c96709db45a6aab3992f14887c21, https://www.notion.so/447ffa5527ee4d1ba4aaf8b6cfeb702b, https://www.notion.so/3d4f15cb3cca44a0994c673a878b39c5, https://www.notion.so/0a8bfc014de34b4eb4fcafab06616d65, https://www.notion.so/Da-553f3727cd2e406d9e763f702712d6c7, https://www.notion.so/47e11715413143c1ba68eefccf0d85d5, https://www.notion.so/4f85a6d392ee49eda9a30cd8ecd3ed04, https://www.notion.so/Tauriel-de252c4ac5e84df18255724d38eeeebe, https://www.notion.so/25d6da828d184c75b15893e9369f43cc, https://www.notion.so/8302090a8296404282cdb64f634bdddf, https://www.notion.so/b1d476ba4d1b48d399059b2b27801337, https://www.notion.so/032012b416a848efa449d1f84c989030, https://www.notion.so/8734e9b3bbe842a2b77027994e3137de, https://www.notion.so/c2d735255a6141f794bb503178c41c5e, https://www.notion.so/dae55ea0595d4b1aa72df7e56287bb9c, https://www.notion.so/ca3113f4be9f469aba412a1bfcea077b, https://www.notion.so/1bb9a05194c446d0a9381085f5bb3772, https://www.notion.so/Minwen-Yang-5aa59bfc25dd4c01b3edbf9e824a2e35, https://www.notion.so/Rainie-540ceaa07f8f4423abe6a83f1d9b62bc, https://www.notion.so/00fb9933541d45faa490ee696d2ebd32, https://www.notion.so/Lynn-Shuyi-6eb8367b316f4396913f457dc95e9c03, https://www.notion.so/141f5a52283d48fca280919584d5b285, https://www.notion.so/68830abbbd0042178008e79e16f78dce, https://www.notion.so/FF-c9f9e9f97592490a9419424907a711b1, https://www.notion.so/e3a30c89d4e441d0a343af91f98a28b3, https://www.notion.so/NADA-37a263ed2573471396306449f92ae778, https://www.notion.so/2c85db149aed4049abf93a93fc5b2746, https://www.notion.so/479623b3d8ca41c2a588a24264e5e5d3, https://www.notion.so/ba0e1c4ec3174faca2a34dace82f3f60, https://www.notion.so/Hedy-Tong-e50caee9b6a4493ebb72be4820e49506, https://www.notion.so/57a35459a0c84e0e99da55ac33ff22c0, https://www.notion.so/17f652c58c0e49e38f32f7d2dbd2af55, https://www.notion.so/132e91f0efc64c1884f4cdd0ca832d85, https://www.notion.so/817c6cbc0cb44d148d613e63d1060c3f, https://www.notion.so/da155a00904246a581cb84732a225c05, https://www.notion.so/c4b976ef0a0b472e961de1a4c10528a2, https://www.notion.so/Wu-f5a5f3d35d1c42d5bea516fc0b37a561, https://www.notion.so/bae44a9ee97748beb7d50428aab9373b, https://www.notion.so/C-Spencer-ce0f38736acd4455b94ffb42e75e0ae0",76
实践：公益环保可持续/社会创新/ESG,,"https://www.notion.so/706-11812736affe459ba15057ddf284f932, https://www.notion.so/706-01860e6fc8944653bcba0a89c21e0e5c",https://www.notion.so/6fdf1f44f2cd4de9a0a22f480135db26,"https://www.notion.so/2021-5-23-647e06e9ce9747a1b04ffbdccfd9eb14, https://www.notion.so/706-65d4299f7cda46d4ab75c43055d0d472, https://www.notion.so/706-Sustainable-Life-ca25005f91654eacb6649df6a6de4d5b, https://www.notion.so/01-6e4a127b046442138454fae3594e8b16",https://www.notion.so/diy-1f36f39aba994635997aebceb5e251b2,,"https://www.notion.so/Gloria-064e9c1c622a42bcabdfe4cc0970b990, https://www.notion.so/15a9f42ae52542509f7b30661c270aeb, https://www.notion.so/RLa-17094d9c43c0463a9abc3c8ecf608cbb, https://www.notion.so/30c4dd9133bb4879bf67fb4e18bc6a01, https://www.notion.so/37824722a4104098b3898cf1289402de, https://www.notion.so/3f1474bd3efc4c31a8707a85638f0347, https://www.notion.so/4b5d0f5b27904d1cb4647ab7527d24c2, https://www.notion.so/727fdc67ac1947db970c33027d55a643, https://www.notion.so/7dff2092a8ae4e05950ace56747d1c29, https://www.notion.so/83673498442a469ab4b3d83c1c1117fd, https://www.notion.so/ad7af10947bd460997d80742ba08e3cc, https://www.notion.so/b56c1f4198654a10ac47c14cd1b1f4d0, https://www.notion.so/bb6492e8bb764c799beb551ce0a5a656, https://www.notion.so/bc1e94b1cf2a4c49a9bff4279bf84ff0, https://www.notion.so/CZ-d97b9bc2f0404a7990dcee1f4ba319c0, https://www.notion.so/Chloe-dd50ac5afd9a4c7ca625f08def1856d5, https://www.notion.so/fa30c4e6c6554a54897f056a32cdda0f, https://www.notion.so/Linxi-1a44cb8cd968477cb4c435ef30dd514d, https://www.notion.so/565afaf596e34b15a37fd6b839fe69c1, https://www.notion.so/4990e235fb45465db82e6b0b39e78012, https://www.notion.so/b78f3528d7594187a1041a8d30aba91d, https://www.notion.so/a5d4f565b96740bfa6bd580b4c72ce8b, https://www.notion.so/Michelle-31dd54390db64beca5a58e8edef88912, https://www.notion.so/Serina-447528b1b3f34001910c5657988cee68, https://www.notion.so/Chelsea-5e17d11fafd6424bba070df59ca4e429, https://www.notion.so/1d87a419055842a8a00a6ff74e2736fc, https://www.notion.so/43d0c20c7b8f4bbcb0e14c831827c4da, https://www.notion.so/6a7c8fc4f2294bd2a41d4e1314418c41, https://www.notion.so/ae55272fd74e4f4abb77a9cc37afb8ec, https://www.notion.so/58da323774d44cb19cca021e1ffaf33b, https://www.notion.so/b84a1e4c0e5542b0b1c9fc353560c3dc, https://www.notion.so/5f7b56526296416abd31f2a469dac240, https://www.notion.so/40d8dfc8e8be4fea80f42697b7040cf5, https://www.notion.so/12b8882a61554e13a7cff765348bff1f, https://www.notion.so/Lingfei-Tang-a5ce6962d21745c1a8959a39de170633, https://www.notion.so/d41488ffaccb4e6baf7008e0513dd33b, https://www.notion.so/3914fcfedffd42e693ab817865c9764e, https://www.notion.so/3bc0c3c0eeae409b9e872c5bf89f6633, https://www.notion.so/Lynn-Shuyi-6eb8367b316f4396913f457dc95e9c03, https://www.notion.so/Andrea-b7944c7badbe460b9c5bb9936ce9513e, https://www.notion.so/Leah-16992c19c3a0453bbe7653ebff095b8f, https://www.notion.so/Yilan-0a0a30030b0d4f3ca46664c3437549d8, https://www.notion.so/Vegas-9d08462fdba64d86b17fae8ee144cee6, https://www.notion.so/fb82c979de974605a7c088e5ea55500f, https://www.notion.so/e3a30c89d4e441d0a343af91f98a28b3, https://www.notion.so/Hedy-Tong-e50caee9b6a4493ebb72be4820e49506, https://www.notion.so/132e91f0efc64c1884f4cdd0ca832d85, https://www.notion.so/cc9e19c413504c00bb16b4ca6c659840, https://www.notion.so/861b458ba4f14b708370c66d79bb5755, https://www.notion.so/9755154c293e4e2bb575c8a68fc9143b, https://www.notion.so/61668f0e60b2490aa6949c0210c10964, https://www.notion.so/d0eddc6f5eb0434ab5092aa9c04ab479, https://www.notion.so/Jing-87b267ba743d48fb814be85de45f82b0",53
实践：冥想/禅修/戏剧疗愈/正念/瑜伽/身心灵,,,,"https://www.notion.so/706-7433dc8e5b38477ca2a5b32984314171, https://www.notion.so/48-182c0e86ce224ea7af2ad80720567aa0",,"https://www.notion.so/1cf04cd45851474fb63d4600744b00fe, https://www.notion.so/bb859ea5c02f43638e8d5a622731d772","https://www.notion.so/b221ba16cbac42748e952a4dc0236a2a, https://www.notion.so/Alice-5c56249be2ac4750ad3533ca20e57ce9, https://www.notion.so/c6d4f761f17545d587c9fc632d83a651, https://www.notion.so/larri-6fbf9b8f801c4a8ca0f31ad469ad091d, https://www.notion.so/Jingsi-lookis-020e9d8b68a446f3a827ac33fe6ce94c, https://www.notion.so/c938fb8e082f4b75bd645db184e95424, https://www.notion.so/Emma-6fce7307833944bb8c380a14d4f94a71, https://www.notion.so/278c7b7faa204bdcb54b8495bcec3727, https://www.notion.so/MAO-8832ea1f380049f9bf5a763b4034dcc8, https://www.notion.so/6a7c8fc4f2294bd2a41d4e1314418c41, https://www.notion.so/e9ad3fc41168437e9508e2b39a679726, https://www.notion.so/df98375342604b4b85944f1dad03b15d, https://www.notion.so/ccbf7363b1834478bcb08895046c81e2, https://www.notion.so/Haux-317a2d7b53b54a7ca71606a9c0bc96b8, https://www.notion.so/siqi-94626ad946df4084966cfda0e28018e2, https://www.notion.so/Lili-5c16fedd16d9401eacde12808d95be73, https://www.notion.so/db7719f04c1145ecbab07d49d3df162b, https://www.notion.so/Taoyang-16cc1868787a4b3fabdf751345a82372, https://www.notion.so/Hedy-Tong-e50caee9b6a4493ebb72be4820e49506, https://www.notion.so/df446dae74d04577a57e0dac6b87e1b0, https://www.notion.so/45f098feef4d45eeb88a226da792c54a",21
实践：工人/生产/制造/工厂,,,https://www.notion.so/diyloveclub-363a0dfcfe694c20a6658ba580a4b539,https://www.notion.so/JOJO-51c0cf0181bf485394836f47b4b37f37,https://www.notion.so/diy-a3b9e9a24fc64bd8beb43cd08f082f9d,,https://www.notion.so/jojo-c93f1dd633cd4617ab749900f049e182,1
实践：智识生活/青年共居/Co-living,,"https://www.notion.so/706-b9e5a507a8464a70ac928396e3a53b2d, https://www.notion.so/7b99eb85a5954cd2883a79df0f079042, https://www.notion.so/b61627b8dc4b473c9626532fad254562, https://www.notion.so/2021-01-c3cccd80eadd49a2a4fc07dba555f161",,"https://www.notion.so/20-00-f3f8168e08654e10bcd63d8913d28739, https://www.notion.so/706-a1e04c1784b94696afd799eee6f4e47e, https://www.notion.so/706-8ce6900b026347ae8d67d096890aa8f0, https://www.notion.so/706-No-4-e9b9ce937bcd462dbefc86d30b453316, https://www.notion.so/c04c5d95b2854b2aace0edfc26135b7b, https://www.notion.so/706-2019-3-23-a43ff7ce95364e76955b2ea67f4bd27d, https://www.notion.so/2019-4-19-273d94a578e04d62afb3066f035068fb, https://www.notion.so/706-20-01-03-c81ebe5142994e43a3c6628d629a3ec2, https://www.notion.so/Mincraft-2018-7-10-9fb36559e0a9490a9662727cd5df52cd, https://www.notion.so/La-reunion-2018-7-22-65cec530d4d34fd0a4f69df7a45b6e9a, https://www.notion.so/18-11-30-706-No-2-5a0b3adb78a0415bb706918e8ed98444, https://www.notion.so/706-2-18-11-23-30-0610de4a2d1742b89e66a66d443016f1, https://www.notion.so/706-202-4-01-9ef81f4296b94d1384bb5bfc8653c9d9, https://www.notion.so/706-1-203d64a1db1d428aa88e63ecd85e625e, https://www.notion.so/706-2-64eea7b3a3f546d3967d9dd2ca5743e9, https://www.notion.so/706-3-8c2dbe3aa8344932b75da816e4611617",,,"https://www.notion.so/dd6ced7a12b34619ba267ba73db90da8, https://www.notion.so/d33ba6a6e4ef4f1b95925ba567a69200, https://www.notion.so/335483b34a3e4eddb6360dca5c1bef05, https://www.notion.so/c31c71a26cf244ea967e8d1614c0a44a, https://www.notion.so/ee344fb17e7947f8869a7bcbe3ec115c, https://www.notion.so/57a5561d4ee641b1b6cae20538ed582b, https://www.notion.so/Leah-16992c19c3a0453bbe7653ebff095b8f, https://www.notion.so/fd65150070cc4255a5d91a79f1da6a83, https://www.notion.so/Hedy-Tong-e50caee9b6a4493ebb72be4820e49506, https://www.notion.so/d58839630af244b3b33f9939d331943b",10
实践：读书会/共学,,,,,,,https://www.notion.so/C-Spencer-ce0f38736acd4455b94ffb42e75e0ae0,1
思潮：UBI社会基本收入,,,,https://www.notion.so/706-cccac302afe84869981d2623dac4efa9,,,"https://www.notion.so/Jiang-4ac14ffd121841749d35a1613e83a580, https://www.notion.so/cheng-6112e3828da24831ab9a1716bc38d2c1, https://www.notion.so/Oli-7819e888add447e085817673fa8e231a, https://www.notion.so/1566-a76f43a3b1a84f49b4dca8691621cf45, https://www.notion.so/954077d56ed04b31ac9eaad4a797871d, https://www.notion.so/b2983acce03646c0819420b309506813, https://www.notion.so/47ab2ccb7cf94dc0a6b4c612d81dfbb0, https://www.notion.so/ink-07aa629133fd4977bbdf12317e470820, https://www.notion.so/f479678d18144376a9893f5ca68bdef1",9
